<TICKER>,<DTYYYYMMDD>,<DTYYYYMMDD2>,code,close
شاخص_كل6,13891207,20110226,IDXS,21867.90
شاخص_كل6,13891208,20110227,IDXS,21900.50
شاخص_كل6,13891209,20110228,IDXS,21663.30
شاخص_كل6,13891210,20110301,IDXS,21472.90
شاخص_كل6,13891211,20110302,IDXS,21694.00
شاخص_كل6,13891214,20110305,IDXS,21843.20
شاخص_كل6,13891215,20110306,IDXS,21929.30
شاخص_كل6,13891216,20110307,IDXS,21891.80
شاخص_كل6,13891217,20110308,IDXS,22033.20
شاخص_كل6,13891218,20110309,IDXS,22062.60
شاخص_كل6,13891221,20110312,IDXS,21895.20
شاخص_كل6,13891222,20110313,IDXS,22008.80
شاخص_كل6,13891223,20110314,IDXS,22236.90
شاخص_كل6,13891224,20110315,IDXS,22455.70
شاخص_كل6,13891225,20110316,IDXS,22803.80
شاخص_كل6,13891228,20110319,IDXS,23294.90
شاخص_كل6,13900106,20110326,IDXS,23756.30
شاخص_كل6,13900107,20110327,IDXS,24199.80
شاخص_كل6,13900108,20110328,IDXS,24287.80
شاخص_كل6,13900109,20110329,IDXS,24486.60
شاخص_كل6,13900110,20110330,IDXS,24486.00
شاخص_كل6,13900114,20110403,IDXS,24543.60
شاخص_كل6,13900115,20110404,IDXS,25023.30
شاخص_كل6,13900116,20110405,IDXS,25550.40
شاخص_كل6,13900117,20110406,IDXS,25885.10
شاخص_كل6,13900120,20110409,IDXS,26222.70
شاخص_كل6,13900121,20110410,IDXS,26002.60
شاخص_كل6,13900122,20110411,IDXS,26145.20
شاخص_كل6,13900123,20110412,IDXS,26412.70
شاخص_كل6,13900124,20110413,IDXS,26541.90
شاخص_كل6,13900127,20110416,IDXS,26675.90
شاخص_كل6,13900128,20110417,IDXS,26446.60
شاخص_كل6,13900129,20110418,IDXS,26429.20
شاخص_كل6,13900130,20110419,IDXS,26215.40
شاخص_كل6,13900131,20110420,IDXS,26481.50
شاخص_كل6,13900203,20110423,IDXS,26610.10
شاخص_كل6,13900204,20110424,IDXS,26539.70
شاخص_كل6,13900205,20110425,IDXS,26261.50
شاخص_كل6,13900206,20110426,IDXS,26273.60
شاخص_كل6,13900207,20110427,IDXS,25781.80
